"","CBO.Ocupação.2002","Vínculo.Ativo.31.12","Escolaridade.após.2005","Qtd.Hora.Contr","Idade","Vl.Remun.Média.Nom","Sexo.Trabalhador","Tempo.Emprego"
"1636471",212420,1,7,44,20,2279.29,1,34.3
"1636473",212420,1,7,44,25,2040.34,1,21.9
"1636512",212420,1,7,44,30,2371.11,1,33.4
"1636513",212420,1,7,44,29,2625,1,16.4
"1636515",212420,1,7,44,25,2400,1,3.8
"1636516",212420,1,7,44,30,2329.94,1,19.8
"1636517",212420,1,7,44,24,2005.27,1,28.9
"1636519",212420,1,7,44,34,3184.83,1,47.2
"1636632",212420,1,7,36,21,2108.2,1,21.4
"1636638",212420,1,7,36,26,2035.53,1,43.1
"1636641",212420,1,7,44,27,3447.68,1,52.9
"1636651",212415,1,7,44,26,7576.9,1,17.3
"1638588",212420,1,7,44,28,1999.29,1,16.9
"1638590",212420,1,7,36,25,1580.68,1,25.1
"1638594",212420,1,7,44,27,3102.97,1,42.9
"1638595",212420,1,7,44,29,1485.28,1,11.6
"1638596",212420,1,7,36,20,2772.25,1,22.9
"1638639",212420,1,7,44,33,2381.41,1,17.9
"1640184",212420,1,7,44,38,2952.96,1,64.9
"1640461",212415,1,7,44,47,5611.68,1,17.3
"1641062",212420,1,7,44,31,1880.47,1,9.3
"1641364",212420,1,7,44,32,3477.54,1,57.6
"1641369",212420,1,7,44,36,4035.16,1,79.6
"1641560",212420,1,7,44,35,3434.38,1,6.9
"1642120",212420,1,7,44,32,2758.3,1,17.9
"1644548",212420,1,7,40,26,1315,1,0.9
"1645154",212420,1,7,44,28,1691.39,1,12.5
"1645481",212420,1,7,44,36,4046.85,1,42.6
"1645483",212415,1,7,44,31,8512.38,1,111.9
"1645484",212415,1,7,44,25,1767.68,1,41.5
"1645485",212415,1,7,44,22,1767.68,1,41.5
"1645486",212415,1,7,44,31,9069.6,1,108.9
"1645487",212420,1,7,44,26,4084.64,1,41.5
"1645488",212415,1,7,44,25,1755,1,8.1
"1645794",212420,1,7,44,41,1570.55,1,45.8
"1646062",212420,1,7,44,25,1380,1,1.4
"1646063",212420,1,7,44,26,2036.36,1,10.4
"1646274",212420,1,7,36,24,1967.56,1,23.5
"1646277",212420,1,7,44,22,4169.48,1,52.9
"1646385",212420,1,7,44,27,5495.43,1,74.9
"1647058",212410,1,7,44,32,1406.68,1,1.9
"1647059",212420,1,7,44,27,3033.37,1,50.2
"1648605",212420,1,7,40,20,1851.94,1,23.5
"1649368",212420,1,7,44,34,3752.13,1,32.9
"1650519",212420,1,7,44,24,1746.37,1,44.5
"1650751",212420,1,7,44,27,1350,1,5.9
"1650752",212420,1,7,44,19,1201,1,11.7
"1650753",212420,1,7,44,21,1175.61,1,19.5
"1651757",212420,1,7,44,21,1462.99,1,29.4
"1651759",212420,1,7,44,21,1451.35,1,26.8
"1651877",212420,1,7,44,31,2700.34,1,8.9
"1652029",212420,1,7,44,34,1507.79,1,2.2
"1652030",212420,1,7,44,18,1156.48,1,4.9
"1652160",212420,1,7,40,26,4652.83,1,86.9
"1652208",212420,1,7,44,29,1800,1,1.4
"1652353",212420,1,7,40,44,4122.43,1,44.9
"1653000",212420,1,7,40,27,2477.09,1,54.3
"1657085",212420,1,7,44,20,1845.13,1,33.9
"1658229",212410,1,7,44,31,5644.44,1,40.9
